ListingID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Cost_Price,Sale_Price
2,Honda Jazz V,Islamabad,2011,46000,Petrol,Manual,First,13 km/kg,1199 CC,88.7 bhp,5,11480.0,6000.0
3,Subaru Forester,Islamabad,2012,87000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,,8000.0
4,Audi A4 New 2.0 TDI Multitronic,Lahore,2013,40670,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,,23653.0
6,Nissan Micra Diesel XV,Rawalpindi,2013,86999,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,6000,4666.0
7,Toyota Innova Crysta 2.8 GX AT 8S,Quetta,2016,36000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8,28000.0,23333.0
8,Volkswagen Vento Diesel Comfortline,Karachi,2013,64430,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5,,6933.0
9,Mazda CX-5,Islamabad,2012,65932,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5,,2600.0
10,Nissan Leaf,Multan,2018,25692,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5,14200.0,13266.0
11,Honda City 1.5 V AT Sunroof,Faislabad,2012,60000,Petrol,Automatic,First,16.8 kmpl,1497 CC,116.3 bhp,5,,5986.0
12,Mazda CX-5,Rawalpindi,2015,64424,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,10000,7466.0
13,Land Rover Range Rover 2.2L Pure,Hyderabad,2014,72000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5,,36000.0
14,Land Rover Freelander 2 TD4 SE,Karachi,2012,85000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5,,23333.0
15,Mitsubishi Pajero Sport 4X4,Hyderabad,2014,110000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7,42680.0,20000.0
16,Honda Amaze S i-Dtech,Multan,2016,58950,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,,7200.0
17,Mazda CX-5,Rawalpindi,2017,25000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,12000,7986.0
18,Renault Duster 85PS Diesel RxL Plus,Multan,2014,77469,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5,,8453.0
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Peshawar,2014,78500,Diesel,Automatic,First,14.84 kmpl,2143 CC,167.62 bhp,5,,37333.0
20,BMW 3 Series 320d,Multan,2014,32982,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,63826.666666666664,24733.0
21,Honda Civic,Peshawar,2015,55392,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5,,11000.0
22,Audi A6 2011-2015 35 TFSI Technology,Quetta,2015,55985,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5,,31333.0
23,Hyundai i20 1.2 Magna,Faislabad,2010,45807,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5,,2493.0
24,Volkswagen Vento Petrol Highline AT,Faislabad,2010,33000,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5,,3800.0
