Car,Location,Fuel,Transmission,ODO,Age,Mileage,Engine,Power,Seats,SP,CP
Subaru Forester,Islamabad,Diesel,Manual,87000,12,20.77,1248.0,88.76,7.0,8000.0,15176.57
Volkswagen Vento Diesel Comfortline,Karachi,Diesel,Manual,64430,11,20.54,1598.0,103.6,5.0,6933.0,16258.14
Honda City 1.5 V AT Sunroof,Faislabad,Petrol,Automatic,60000,12,16.8,1497.0,116.3,5.0,5986.0,18750.41
Land Rover Range Rover 2.2L Pure,Hyderabad,Diesel,Automatic,72000,10,12.7,2179.0,187.7,5.0,36000.0,65664.14
Honda Amaze S i-Dtech,Multan,Diesel,Manual,58950,8,25.8,1498.0,98.6,5.0,7200.0,15631.57
Renault Duster 85PS Diesel RxL Plus,Multan,Diesel,Manual,77469,10,20.45,1461.0,83.8,5.0,8453.0,14073.63
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Peshawar,Diesel,Automatic,78500,10,14.84,2143.0,167.62,5.0,37333.0,65674.72
Audi A6 2011-2015 35 TFSI Technology,Quetta,Petrol,Automatic,55985,9,13.53,1984.0,177.01,5.0,31333.0,79830.31
Hyundai i20 1.2 Magna,Faislabad,Petrol,Manual,45807,14,18.5,1197.0,80.0,5.0,2493.0,7961.46
Volkswagen Vento Petrol Highline AT,Faislabad,Petrol,Automatic,33000,14,14.4,1598.0,103.6,5.0,3800.0,13850.85
Honda City Corporate Edition,Quetta,Petrol,Manual,51920,12,16.8,1497.0,116.3,5.0,5666.0,19832.3
Nissan Micra Diesel XV,Abbottabad,Diesel,Manual,54000,12,19.80769230769231,1461.0,63.1,5.0,5666.0,12257.56
Toyota Innova 2.5 V Diesel 7-seater,Quetta,Diesel,Manual,262000,17,12.8,2494.0,102.0,7.0,5333.0,17897.44
Renault Duster 110PS Diesel RxZ Pack,Peshawar,Diesel,Manual,62000,11,19.01,1461.0,108.45,5.0,10333.0,18388.97
Toyota Corolla Altis G,Hyderabad,Petrol,Manual,87615,12,14.53,1798.0,138.1,5.0,9000.0,24677.71
Audi A6 2.7 TDI,Faislabad,Diesel,Automatic,35000,14,12.4,2698.0,179.5,5.0,15333.0,63986.5
Mazda CX-5,Hyderabad,Petrol,Manual,52000,7,18.15,1198.0,82.0,5.0,6466.0,12844.13
Mercedes-Benz M-Class ML 350 CDI,Karachi,Diesel,Automatic,85000,11,11.74,2987.0,254.8,5.0,37333.0,124888.62
Volkswagen Polo Diesel Trendline 1.2L,Islamabad,Diesel,Manual,62000,11,22.07,1199.0,73.9,5.0,6666.0,12569.08
Subaru Forester,Multan,Petrol,Manual,19698,10,25.4,624.0,37.5,4.0,2040.0,8861.09
Honda Civic,Lahore,Diesel,Manual,22033,7,25.32,1198.0,77.0,6.0,7440.0,12520.56
Hyundai i20 Magna Optional 1.2,Multan,Petrol,Manual,35487,10,18.5,1197.0,82.9,5.0,6320.0,11762.93
Toyota Corolla Altis G AT,Quetta,Petrol,Automatic,52001,8,14.28,1798.0,138.03,5.0,13480.0,25126.07
Audi A4 2.0 TDI 177 Bhp Premium Plus,Multan,Diesel,Automatic,13648,9,17.11,1968.0,174.33,5.0,28573.0,65538.44
Nissan Leaf,Hyderabad,Diesel,Manual,52000,10,22.9,1248.0,74.0,5.0,5666.0,12872.93
Mazda CX-5,Faislabad,Diesel,Manual,53000,10,17.8,1248.0,75.0,5.0,4400.0,9872.78
Honda Civic,Hyderabad,Diesel,Manual,65650,11,28.4,1248.0,74.0,5.0,5133.0,12873.38
Hyundai Grand i10 Sportz,Islamabad,Petrol,Manual,54000,9,18.9,1197.0,82.0,5.0,4800.0,12491.93
Volkswagen Vento 2013-2015 1.6 Comfortline,Faislabad,Petrol,Manual,39000,9,15.04,1598.0,103.2,5.0,5320.0,15303.74
Renault KWID RXT,Multan,Petrol,Manual,16542,7,25.17,799.0,53.3,5.0,4400.0,10173.68
Hyundai i10 Asta,Faislabad,Petrol,Manual,32000,14,20.36,1197.0,78.9,5.0,2759.0,7961.46
Nissan X-Trail SLX AT,Abbottabad,Diesel,Automatic,121812,14,11.40625,1995.0,147.6,5.0,10333.0,24570.84
Subaru Forester,Abbottabad,Petrol,Manual,39300,14,18.2,998.0,67.1,5.0,3000.0,10800.3
Ford Figo Diesel Titanium,Peshawar,Diesel,Manual,72000,14,20.0,1399.0,68.0,5.0,3666.0,9675.13
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Hyderabad,Petrol,Automatic,58000,9,11.74,1796.0,186.0,5.0,35600.0,64902.4
Honda Civic,Islamabad,Diesel,Manual,178000,8,25.0,1396.0,69.0,5.0,3333.0,10232.54
Subaru Forester,Karachi,Diesel,Manual,63000,8,24.52,1248.0,88.5,7.0,10866.0,14802.49
Porsche Cayenne 2009-2014 Turbo,Quetta,Petrol,Automatic,73000,16,8.5,4806.0,500.0,5.0,19333.0,165411.48
Subaru Forester,Quetta,Diesel,Manual,55729,9,15.1,2179.0,140.0,7.0,12866.0,25140.38
Hyundai i10 Sportz 1.2 AT,Multan,Petrol,Automatic,45178,12,16.95,1197.0,78.9,5.0,4640.0,11896.77
Toyota Innova 2.0 G1,Islamabad,Petrol,Manual,230000,18,12.4,1998.0,132.0,8.0,6000.0,24881.12
Toyota Innova 2.5 VX 7 STR BSIV,Abbottabad,Diesel,Manual,104000,12,12.8,2494.0,102.0,7.0,15666.0,21121.13
Honda Amaze SX i-VTEC,Multan,Petrol,Manual,54944,8,18.0,1198.0,86.7,5.0,6426.0,11729.07
Ford Figo Diesel ZXI,Abbottabad,Diesel,Manual,70337,12,20.0,1399.0,68.0,5.0,3733.0,10736.41
Honda City i VTEC E,Hyderabad,Petrol,Manual,52000,15,17.8,1497.0,117.3,5.0,4333.0,18483.17
Hyundai i10 Sportz 1.2,Karachi,Petrol,Manual,95980,15,20.36,1197.0,78.9,5.0,3000.0,9075.51
Hyundai Grand i10 Sportz,Peshawar,Petrol,Manual,16000,8,18.9,1197.0,82.0,5.0,7666.0,15205.58
Honda Amaze SX i-VTEC,Quetta,Petrol,Manual,18949,8,17.8,1198.0,86.7,5.0,6666.0,14007.33
Toyota Fortuner 4x2 Manual,Hyderabad,Diesel,Manual,107000,10,13.0,2982.0,168.5,7.0,22000.0,65425.81
Audi A6 2011-2015 35 TDI Premium,Lahore,Diesel,Automatic,48367,6,17.68,1968.0,174.33,5.0,52773.0,69265.81
Ford Ecosport 1.5 DV5 MT Titanium Optional,Hyderabad,Diesel,Manual,57000,11,22.7,1498.0,89.84,5.0,7333.0,12715.83
Honda Civic,Hyderabad,Diesel,Manual,58000,10,15.1,2179.0,140.0,7.0,10800.0,24913.96
Honda Amaze SX i-DTEC,Faislabad,Diesel,Manual,30000,9,25.8,1498.0,98.6,5.0,4666.0,15303.82
Volkswagen Polo Diesel Highline 1.2L,Faislabad,Diesel,Manual,34212,11,22.07,1199.0,73.9,5.0,3720.0,10082.9
Hyundai Verna Transform SX VGT CRDi,Chitral,Diesel,Manual,70002,14,16.2,1493.0,110.0,5.0,4600.0,17348.71
Honda Civic,Peshawar,Petrol,Manual,62000,8,18.9,998.0,67.1,5.0,5933.0,11457.76
Volkswagen Polo Petrol Highline 1.6L,Hyderabad,Petrol,Manual,62001,14,15.26,1598.0,103.5,5.0,3533.0,15542.97
Hyundai i20 Asta 1.2,Quetta,Petrol,Manual,30180,10,18.5,1197.0,82.85,5.0,6200.0,14041.19
Audi A4 3.0 TDI Quattro Premium,Faislabad,Diesel,Automatic,30000,14,14.94,2967.0,241.4,5.0,13066.0,122615.81
Mazda CX-5,Lahore,Petrol,Manual,93850,14,14.0,796.0,35.0,5.0,3213.0,8511.72
Hyundai Verna 1.6 SX CRDI (O) AT,Faislabad,Diesel,Automatic,40000,10,22.32,1582.0,126.32,5.0,7000.0,23722.06
Toyota Corolla,Peshawar,Petrol,Manual,25500,10,25.4,624.0,37.5,4.0,2866.0,8637.51
Honda Civic 2006-2010 1.8 V MT,Hyderabad,Petrol,Manual,71088,14,13.5,1799.0,130.0,5.0,4466.0,24401.86
Toyota Innova 2.5 VX (Diesel) 7 Seater,Chitral,Diesel,Manual,55000,10,12.99,2494.0,100.6,7.0,14813.0,17537.92
Volvo V40 Cross Country D3,Peshawar,Diesel,Automatic,32700,10,23.3,1984.0,150.0,5.0,26666.0,34395.39
BMW 5 Series 2010-2013 525i,Quetta,Petrol,Automatic,128000,15,10.8,2497.0,215.0,5.0,9333.0,69868.69
Nissan Leaf,Karachi,Petrol,Manual,43874,13,18.9,998.0,67.1,5.0,3266.0,7567.25
Nissan Leaf,Lahore,Petrol,Automatic,32684,7,21.9,624.0,37.48,4.0,4306.0,10626.62
Subaru Forester,Faislabad,Diesel,Manual,42000,10,12.05,2179.0,120.0,8.0,10333.0,18170.88
Mercedes-Benz New C-Class 200 K AT,Faislabad,Petrol,Automatic,28352,15,11.7,1796.0,178.0,5.0,12466.0,63515.14
Volkswagen Vento 1.5 TDI Comfortline AT,Karachi,Diesel,Automatic,55000,9,21.21,1498.0,103.2,5.0,9666.0,14791.96
Honda Civic,Multan,Petrol,Manual,44285,7,20.73,1373.0,91.1,5.0,9960.0,14146.07
Subaru Forester,Lahore,Petrol,Manual,30232,8,21.1,1197.0,85.8,5.0,7746.0,15096.03
BMW 1 Series 118d Base,Lahore,Diesel,Automatic,31821,9,20.58,1995.0,143.0,5.0,22960.0,34371.92
Honda Jazz 1.2 V CVT i VTEC,Quetta,Petrol,Automatic,12000,9,19.0,1199.0,88.7,5.0,8000.0,16700.33
Honda Civic 2006-2010 1.8 V MT,Hyderabad,Petrol,Manual,88578,12,13.5,1799.0,130.0,5.0,5266.0,24853.2
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Multan,Diesel,Automatic,44965,10,19.27,2143.0,170.0,5.0,23933.0,65384.58
Honda Amaze SX i-DTEC,Faislabad,Diesel,Manual,45044,10,25.8,1498.0,98.6,5.0,4933.0,15303.82
Subaru Forester,Multan,Petrol,Manual,34204,8,22.0,1197.0,81.8,5.0,7240.0,11729.07
Toyota Fortuner 3.0 Diesel,Lahore,Diesel,Manual,91235,12,11.5,2982.0,171.0,7.0,17986.0,63952.53
Chevrolet Beat LT Option,Karachi,Petrol,Manual,38800,10,18.6,1199.0,76.8,5.0,3800.0,11205.45
Skoda Rapid 1.5 TDI Elegance,Islamabad,Diesel,Manual,83000,11,21.14,1498.0,103.52,5.0,6333.0,16304.21
Subaru Forester,Multan,Petrol,Manual,41283,6,20.73,1373.0,91.1,5.0,13200.0,17008.08
Audi A4 2.0 TDI 177 Bhp Premium Plus,Lahore,Diesel,Automatic,48214,9,17.11,1968.0,174.33,5.0,31093.0,65652.25
Toyota Corolla,Islamabad,Diesel,Manual,35000,8,22.9,1248.0,74.0,5.0,8333.0,14772.41
Mercedes-Benz S Class 2005 2013 S 500,Faislabad,Petrol,Automatic,35277,14,7.81,5461.0,362.9,5.0,40000.0,123908.38
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Lahore,Diesel,Automatic,54620,8,21.66,1498.0,103.52,5.0,13146.0,17663.9
Skoda Superb Elegance 2.0 TDI CR AT,Karachi,Diesel,Automatic,136997,12,17.2,1968.0,138.1,5.0,11333.0,25352.16
Hyundai EON Magna Plus,Multan,Petrol,Manual,14322,5,21.1,814.0,55.2,5.0,5640.0,11767.44
