Car,Location,Fuel,Transmission,ODO,Age,Mileage,Engine,Power,Seats,CP,SP
Honda Jazz V,Islamabad,Petrol,Manual,46000,13,17.56756756756757,1199.0,88.7,5.0,11480.0,6000.0
Nissan Micra Diesel XV,Rawalpindi,Diesel,Manual,86999,11,23.08,1461.0,63.1,5.0,6000.0,4666.0
Toyota Innova Crysta 2.8 GX AT 8S,Quetta,Diesel,Automatic,36000,8,11.36,2755.0,171.5,8.0,28000.0,23333.0
Nissan Leaf,Multan,Petrol,Manual,25692,6,21.56,1462.0,103.25,5.0,14200.0,13266.0
Mazda CX-5,Rawalpindi,Diesel,Manual,64424,9,25.2,1248.0,74.0,5.0,10000.0,7466.0
Mitsubishi Pajero Sport 4X4,Hyderabad,Diesel,Manual,110000,10,13.5,2477.0,175.56,7.0,42680.0,20000.0
Mazda CX-5,Rawalpindi,Diesel,Manual,25000,7,28.4,1248.0,74.0,5.0,12000.0,7986.0
BMW 3 Series 320d,Multan,Diesel,Automatic,32982,10,22.69,1995.0,190.0,5.0,63826.66666666666,24733.0
Honda WRV i-VTEC VX,Multan,Petrol,Manual,37430,6,17.5,1199.0,88.7,5.0,14093.333333333334,13200.0
Nissan Leaf,Multan,Diesel,Manual,50075,6,24.3,1248.0,88.5,5.0,14826.666666666666,11506.0
Hyundai Elantra 2.0 SX Option AT,Peshawar,Petrol,Automatic,46374,10,14.62,1999.0,149.92,5.0,31520.0,11800.0
Toyota Innova Crysta 2.7 GX MT,Peshawar,Petrol,Manual,70704,12,11.25,2694.0,163.7,7.0,24853.33333333333,14600.0
Hyundai Xcent 1.1 CRDi S,Rawalpindi,Diesel,Manual,75000,10,24.4,1120.0,71.0,5.0,7000.0,5133.0
Toyota Innova Crysta 2.4 GX MT 8S,Quetta,Diesel,Manual,22000,7,13.68,2393.0,147.8,8.0,25786.666666666668,22000.0
Audi A4 2.0 TDI Multitronic,Rawalpindi,Diesel,Automatic,65664,12,16.55,1968.0,140.0,5.0,25000.0,18000.0
Mercedes-Benz C-Class Progressive C 220d,Lahore,Diesel,Automatic,15369,5,0.0,1950.0,194.0,5.0,65520.0,47560.0
Hyundai Creta 1.4 E Plus Diesel,Quetta,Diesel,Manual,13000,6,22.1,1396.0,88.7,5.0,15746.666666666666,14000.0
Nissan Terrano XV D Pre,Multan,Diesel,Manual,56066,9,19.64,1461.0,108.5,5.0,22200.0,9226.0
Mazda CX-5,Rawalpindi,Diesel,Manual,95100,12,22.9,1248.0,74.0,5.0,8000.0,5000.0
Toyota Corolla,Karachi,Petrol,Manual,70000,7,17.57,1193.0,88.7,5.0,8893.333333333334,6000.0
Subaru Forester,Rawalpindi,Diesel,Manual,99638,11,23.2,1248.0,73.94,5.0,7000.0,4146.0
Datsun GO Plus T Petrol,Karachi,Petrol,Manual,32851,7,19.83,1198.0,67.0,7.0,8600.0,5266.0
